name,monologue
Jordan Klepper,"[On Trump “complaining about the refs” by attacking ABC moderators David Muir and Linsey Davis] “Yeah man, they were correcting you because of the things you were saying. That’s barely fact-checking. The moderators were reacting like normal human beings react when you hear the craziest sh*t you’ve ever heard. If you were at a cocktail party and your friend said, ‘Trans immigrants are eating dogs in Ohio!,’ you would say, ‘What the f**k are you talking about, Stu? No, they aren’t.’ You wouldn’t be like, ‘Okay, let’s move on to foreign policy.'” jordan klepper"
Jordan Klepper,"You think she was cheating because she seemed familiar with the questions? It’s a presidential debate. They always ask the same questions. It’s like being suspicious that someone knows all the words to ‘Take Me Out to the Ball Game.’ ‘How will you fix the economy?’ ‘What’s your stance on abortion?’ ‘Do you promise not to overthrow the government?’ Standard, boilerplate debate questions."
Jordan Klepper,"polls” claiming he’d won the debate by Putin-sized, not-at-all ludicrous margins] “Wow! Those certainly were numbers! Is this what Trump did during his debate prep, memorize all the numbers between 70 and 98?"
Jordan Klepper,"Imagine if Donald Trump spent all that energy on doing things correctly instead of pretending he did things correctly. I mean, if he had worked harder preparing for the debate, maybe he wouldn’t have had to pretend he won the debate. If he had worked harder to win in 2020, maybe he wouldn’t have had to pretend the election was rigged. And if he had worked harder on January 6, maybe he would have overthrown the government and wouldn’t have to be debating in the first place. It’s called work ethic, Donald, come on!” jordan klepper"
Jordan Klepper,"It was not a good night for Trump. In terms of personal tragedies for him, I’d put it somewhere between losing the 2020 election and the day Fox News started letting female anchors wear pants."
Jordan Klepper,"Last night, Kamala Harris and Donald Trump took to the debate stage to make their cases to Taylor Alison Swift. And whoever else happened to be watching."
Jordan Klepper,"Really Donald, you prefer Brittanty Mahomes? What’s your top five Brittany Mahomes songs? Is this really his angle? ‘Well, I don’t care, Taylor, because I like your boyfriend’s coworker’s wife better.'"
Jordan Klepper,You might say he jumped in the disinformation pool but kept his shirt on.
Jordan Klepper,"If there’s one thing we know about a racist conspiracy theory, it’s that Donald Trump’s brain will swallow it whole like a hungry immigrant at Petco."
Jordan Klepper,"Meanwhile, Trump seemed awfully familiar with the questions nobody was asking, like, ‘Who is eating all the cats in Springfield, Ohio?'"
Jordan Klepper,"I’m sorry, this is not my main takeaway, but someone’s cat went missing so they called their senator? I mean, were they like, ‘Hmm, should I call the President of the United States or should I start with my senator? You’ve gotta update those emergency numbers on your fridge, Barry.'"
Seth Meyers,"Former President Trump said today that ABC should have their broadcast license taken away after the debate. Hey, if they didn’t lose it after Wife Swap , they ain’t ever losing it."
Seth Meyers,Former President Trump gave the closing statement at last night’s debate—or so he thought.
Seth Meyers,"After Taylor Swift officially endorsed Vice President Kamala Harris, the Harris campaign sent an email today that asked voters to join Taylor Swift and donate $25. [Shows Taylor Swift concert prices] Said Swifties, ‘We don’t have any more money.'"
Seth Meyers,"Well, the first presidential debate last night and the bar was pretty low for former President Donald Trump. All he had to do was not say anything too crazy. [Clip of Trump ranting, ‘They’re eating the dogs!’] Whoa, someone wanna help me lower this bar again?"
Seth Meyers,"According to a CNN poll, 63 percent of people who watched last night’s debate thought Vice President Kamala Harris won. The other 37 percent spent today guarding their pets with their life."
Seth Meyers,The White House yesterday pushed back on false claims by congressional Republicans that Haitian immigrants in Ohio are eating family pets and said that they are based on ‘an element of racism.’ An element of racism? That’s the biggest understatement since Tostitos A Hint of Lime. “ seth meyers
Seth Meyers,"forever chemicals”] “Wow, so whether you use them or not, you’re gonna have something forever."
Jimmy Fallon,"This morning Trump said the debate was rigged and that ABC should be shut down for fact-checking him, but that he still thought he did great. Then ABC fact-checked him again and said, ‘You did not.'"
Jimmy Fallon,"Afterward, Trump asked how he did with his undecided voters, and his staff said, ‘Well, they’re not undecided any more…'"
Jimmy Fallon,A man in Idaho broke a world record by punching 327 balloons in one minute. Then Trump broke that record at his post-debate party.
Jimmy Fallon,"We haven’t seen a debate performance that bad since, well, the last debate."
Jimmy Fallon,"Yeah, it wasn’t Trump’s best night. About an hour in, even Vladimir Putin was like, ‘Uh, let’s see what’s on Nyetflix.’ jimmy fallon"
Jimmy Fallon,"Childless Cat Lady “] “Then Taylor looked at Travis and said, ‘Now that’s how you spike the ball.'"
Jimmy Fallon,It looks like Operation I’m Not Weird isn’t going well.
Jimmy Fallon,"Harris seemed really prepared, while Trump was like, ‘My homework was eaten by a dog—that was eaten by people in Ohio.'"
Jimmy Fallon,"HBO is making a new Harry Potter TV series and right now they’re casting kids to play Harry, ron, and Hermione. Yep, a new Harry Potter TV series. it’s called Harry Potter and the Lack of New Ideas . ‘Beenthereus donethaticus!'"
Jimmy Fallon,A Carnival cruise ship recently had a close call after it grazed an iceberg. The ship is fine but the iceberg has chronic diarrhea.
Stephen Colbert,"‘The polls are showing we won by numbers you’ve never even heard of. We got smeventeen percent, one hundred didgeridoo, and of course, this is my favorite number, 76 trombones. It was—it was a big parade.'"
Stephen Colbert,"Okay. Or, counterpoint, she tore out your heart, showed it to you while it was still beating, and ate it on national television, and now she would like seconds."
Stephen Colbert,"What a smackdown, Harris ran Trump over with a truck. It was so bad, RFK Jr scooped him up and put Trump in his roadkill freezer."
Stephen Colbert,"Okay, reconsidering is good, but you’re so close to having your daughter unblock you on Facebook."
Stephen Colbert,"Meow! She is dragging J.D. Vance. I hear he’s also the inspiration for her next album, The Tortured Couch-Humper’s Department ."
Stephen Colbert,"This pet-eating brain-worm got into Trump’s skull through J.D. Vance, who has been spreading a racist rumor that Haitian immigrants are abducting people’s pets and eating them in Ohio. Okay this is a good time to remind you just remember to spay or neuter your J.D. Vance."
Stephen Colbert,"When they heard that, a lot of people went, ‘Huh?,’ while others said ‘Whaa?,’ and dogs went ‘Ruh-roh.'"
Stephen Colbert,"[After David Muir’s fact-check] “No, no Dave, Dave, listen up. The TV people said that dogs are in danger everywhere. These puppies are in real danger. They keep getting into a mystery van with some groovy teenagers to fight crime. One of the teens, he’s got a goatee, he’s clearly high. And one of the girls, batting for the other team if you know what I’m saying. I mean, this is a crisis, folks. There’s nothing to say but ‘Zoinks.'” stephen colbert"
Stephen Colbert,"Now, many doubts have been raised about these stories, but it does have a credible source. A screenshot of a Facebook post warning that the author’s neighbor’s daughter’s friend had discovered that her neighbors, supposedly immigrants, were trying to eat her cat. So Trump, to J.D., to the author, to the neighbor, to the daughter, to the friend, to her neighbor, to her cat. That’s a lot of connecting layers. It’s like six degrees of Feline Bacon.” stephen colbert"
Jimmy Kimmel,"I don’t know if it was your best debate, but it was definitely mine."
Jimmy Kimmel,the guy that won” never asks for a rematch
Jimmy Kimmel,We are still buzzing after the Lincoln-Dumbass debate last night.
Jimmy Kimmel,concepts of a plan” to replace the Affordable Care Act—and an eight-year montage of him kicking the same can down the road] “No one puts the ‘con’ in concepts like Donald Trump.
Jimmy Kimmel,"Couldn’t have gone much better that it did for Kamala Harris, she baited him masterfully. I don’t think I’ve seen master-baiting like that on television."
Jimmy Kimmel,"Good work, J.D., you really screwed the sofa bed with this one."
