name,monologue
John Oliver,"Last Week Tonight with John Oliver Season 9 Episode 23 Aired on September 25, 2022"
John Oliver,"Welcome, welcome, welcome to “Last Week Tonight!” I’m John Oliver. Thanks so much for joining us. It’s been a busy week, and a lot has happened. In Iran, there’ve been huge protests over the killing of a young woman after she was arrested by their morality police, we also learned that Adam Levine is as bad at sexting as he is at coming up with meaningful tattoos, and Joe Biden declared the pandemic over. Which isn’t just irresponsible, it’s complete bullshit. You can’t just declare something and make it a reality. If I declare the queen is alive that doesn’t make it true. We all know she’s in the afterlife now, looking up at Diana. But we’re going to start with Ron DeSantis , Florida governor and Playmobil figurine inspired by a detailed HR complaint. DeSantis made headlines recently, after doing this:"
John Oliver,"This morning, a surprising scene in Martha’s Vineyard . Two planes filled with about 50 migrants landing on the island."
John Oliver,"50 Undocumented migrants, including several children, arriving in Martha’s Vineyard, flown in by Florida republican governor and presidential hopeful Ron DeSantis, an effort to turn the spotlight to immigration just two months before the midterm elections."
John Oliver,"Yeah, it certainly was “a surprising scene on Martha’s Vineyard,” which, to be honest, sounds like a romance novel designed to make you cum pumpkin spice. And look: obviously, sending a group of migrants there was reckless, because Martha’s Vineyard isn’t set up with any of the key resources migrants need, unless for some reason they’re desperate for a fishmonger to over-describe what it was like to sell jackie o a pound of scallops in 1983. And if this seems like a stunt made for Fox News, you’re absolutely right — but it also may’ve been made by Fox News. Because just two months ago, Tucker Carlson did a segment pointing out the whiteness of Martha’s Vineyard and had this fun proposal:"
John Oliver,"They are begging for more diversity. Why not send migrants there, in huge numbers? Let’s start with 300,000 and move up from there."
John Oliver,"Okay, first, Martha’s Vineyard is an island that has a year-round population under 20,000. Suggesting sending 300,000 there is a little like suggesting you let Tucker Carlson bring you to sexual completion — it isn’t just a disgusting idea, it’s a logistically impossible one. But it seems DeSantis just took that idea and ran with it. So I guess it’s true they say: good artists borrow, great artists steal, and racist governors get their ideas yelled at them by the human equivalent of the boat shoe found at the scene of a hazing death. The stunt was both grim and deeply cynical, especially given the migrants were reportedly lured there with empty promises of jobs and housing, and even handed brochures listing government assistance they were not eligible for. In fact, that brochure was so sloppily designed that, while it featured a flag for Massachusetts, that’s not the state’s actual flag. This is the real flag. That is just a fake flag they found from this post online made by somebody who said, and I quote, “the current one blows, so I made this one.” The Boston Globe actually tracked down the guy who made it, who said, “no one had seen this flag until some idiot staffer for DeSantis or whoever” stumbled across it, “I cannot fathom why they would use the wrong one,” adding, “this is all hilarious, although at the same time deeply sad, because the real story is asylum seekers being exploited and human trafficked.” Which is absolutely true. Also, how could Ron DeSantis not know it was the wrong flag? He spent three years at Harvard Law School, which is — correct me if I’m wrong — in fucking Massachusetts! I really hope DeSantis paid more attention to the law part of law school, especially as it seems like he might well need it, given that a Texas sheriff has opened a criminal investigation into the migrants’ trips to Martha’s Vineyard. And if you’re thinking, “why a Texas sheriff and not a Florida one?,” It turns out, for all DeSantis’s talk about the urgency of this issue for his voters, these migrants didn’t even come from his state. Why not? I’ll just let him explain."
John Oliver,"The problem is is we’re not seeing mass movements of them into Florida, so you end up with a car with maybe two. And if we know that that’s illegal, and there’s someone that’s kinda smuggling, then committing crime, then you can do arrests, there have been drug seizures. But that’s not effective enough to stop the mass migration, but it’s just coming in onesie-twosies."
John Oliver,"Okay, first; “onesie-twosies?” These are real people’s lives, not a baby’s fucking toes. But second, it seems, this huge problem for his state, mass migration, is actually so little of a problem, he had to borrow fifty migrants from a state halfway across the country. Still, credit where it’s due: nothing says “I’m against illegal immigration and human trafficking” quite like making fake documents to smuggle people across a border. And look: we could spend the rest of this show talking about DeSantis, and why he always looks like he’s wearing a suit “under” his suit. But there’s also an urgent crisis going on in Puerto Rico :"
John Oliver,"This morning, Puerto Rico in the dark after powerful winds from Fiona knocked out power to nearly everyone on the island."
