name,monologue
Desi Lydic,I slept two hours last night and I feel like sh*t. Let’s do this!
Desi Lydic,"Just like the relationship between Trump and Eric, this one wasn’t close at all. Oh my God, I have four more years of Eric jokes, f**k me."
Desi Lydic,"Seems the only people you can’t blame for Trump’s victory are Black women and people in comas. And puppies. Or puppies in comas. Oh dammit, I just made myself more sad."
Desi Lydic,"Yeah, it’s official. America has elected its first criminal president before electing its first female president. What a day for proud felonists."
Desi Lydic,"What the actual f**k, America? We have had two qualified, distinguished women nominated for president and both times they lost to the worst man in the whole country. At this point it’s starting to look like we’re going to get every other first before we get a first woman president. First Amish president, first Wahlberg president—hey, there’s no rule that says a dog can’t be president, as long as it’s a boy dog.” desi lydic"
Desi Lydic,"But instead of breaking the glass ceiling, last night America decided to get back with her dirtbag ex, and I had no idea how much she missed him."
Desi Lydic,"Just think about what happened here. America voted this guy out in 2020. And what has he done since then? He tried to overthrow the government, he was convicted of 34 felonies, he spent an entire campaign promising vengeance against his enemies. And if you’re wondering who, after all of that, would want to back him up, well buckle up—it’s a long list."
Desi Lydic,"Look, as productive as this feels right now, I’m not really interested in gaming out why this happened. This defeat was so resounding that you would literally say anything and it would be plausible. She should have picked Moo Deng for her VP. She should have gone on the Hawk Tuah girl’s podcast. Maybe she visited Wisconsin too much—sure that makes sense, why not?"
Desi Lydic,"Honestly, I don’t really care why she lost, I care why he won. We have spent so much time diagnosing Donald Trump and what his actions say about him. He’s a dictator, he’s a fascist, he’s a malignant narcissist whose blood type is fryer oil. But it’s pretty clear that America is the one that needs the diagnosis, because what ever’s wrong with him, we f**king love it. In this moment Donald Trump is holding up a mirror to the American people and it might be time to take a good f**king hard look.” desi lydic"
Desi Lydic,"Aww, we’re gonna last generations? That is the optimism I was looking for!"
Jimmy Kimmel,"You know, I spent a lot of time over the last 17 hours or so thinking about what I would say tonight, what there even is to say tonight—and there’s nothing, Good night everybody!"
Jimmy Kimmel,My only request to President-elect Trump is that he lets me share a prison cell with Taylor Swift. I’m really good at making bracelets and I think we’d get along just fine. We’ll see how funny that is in six months when the great talk show host round-up begins.
Jimmy Kimmel,"This Donald Trump is like the Emperor from Star Wars . He’s old, he’s evil, and he keeps coming back with no reasonable explanation whatsoever."
Jimmy Kimmel,We had the choice between a prosecutor and a criminal and we chose the criminal to be President of the United States. More than half of this country voted for the criminal who’s planning to pardon himself for his crimes.
Jimmy Kimmel,"Last time the Democrats cheated. This time? We chose not to, I guess."
Jimmy Kimmel,"Most of all it was an absolute disaster of a night for Melania. But it was a really good night for Putin, and for polio, and for lovable millionaires like Elon Musk and all the bros up in Silicon Valley, and all the wriggling brain worms who sold what was left of their souls to bow down to Donald Trump."
Jimmy Kimmel,"Let’s be honest, it was a terrible night last night. It was a terrible night for women, for children, for the hundreds of thousands of immigrants who make this country go. For health care, for our climate, for science, for journalism, for justice, for free speech. It was a terrible night for poor people, for the middle class, for seniors who rely on Social Security, for our allies in Ukraine, for NATO, for the truth, and democracy, and decency. It was a bad night for everyone who voted against him and guess what, it was a bad night for everyone who voted for him—you just don’t realize it yet.” jimmy kimmel"
Jimmy Kimmel,Tim Walz right now is in his backyard playing a very solemn game of cornhole by himself.
Jimmy Kimmel,Kamala Harris called Trump too. She conceded—and then explained what the word conceded means.
Jimmy Kimmel,You can tell Russia is running out of ideas when they’re trying to disrupt our elections now using the same tricks kids used to use in the 80’s to get out of P.E.
Seth Meyers,"I was watching the results come in because I couldn’t sleep. And it was like Christmas Eve, you know? Like if on Christmas morning you’re either going to wake up to find that Santa left presents under the tree or if he just took a huge dumb in your fireplace."
Seth Meyers,"It’s 2016 all over again, it’ll be 2016 forever, and if we’re gonna have to relive all the bad sh*t from 2016 we should at least get to do the good sh*t too. HBO should bring back Veep , Beyoncé should bring back Lemonade , we should all get back to playing Pokémon Go . If American democracy is about to crumble, we should at least spend our time wandering around with our phones, looking for invisible Charizards and the, when you find one, report it to Donald Trump so he can report it.” seth meyers"
Seth Meyers,"‘This is a joyful place to work and we hope that you can see the joy when you’re watching at home. We’re not going to let anything take that joy away, even when we’re talking about things that are not particularly joyful. For example, here’s something—I don’t think Donald Trump’s a good person. I’d even go so far as to say he’s a bad person. Now, in my defense I’m only basing that on everything I’ve ever been taught about what makes someone good or bad.” seth meyers"
Seth Meyers,The only difference is in 2016 I had the energy to get through a Trump presidency. Now look at me. To get through another one they’re gonna have to give me whatever drugs they’re giving Trump. I assume they hide some Adderall in his Big Macs they way you give medicine to a dog.
Seth Meyers,"When I was in grade school they told us anyone could grow up to be President, but they didn’t say literally f**king anyone."
Seth Meyers,"That’s right, Trump’s back just four years after he sicced a mob on the Capitol to overthrow American democracy. We had a long montage all teed up to remind you how awful things were the first time, but you guys remember, and it was a huge bummer. But you remember—when we were constantly immersed in crisis after crisis and our nervous systems were perpetually overwhelmed by a cascade of catastrophes and cataclysms, and the President was the biggest, loudest weirdo on the f*cking planet.” seth meyers"
Seth Meyers,"And I’m sorry, I don’t care if he won, he is still so weird. I mean, why does he stand like that, why? He looks like a snake who swallowed an antelope."
Seth Meyers,"Yeah, who didn’t love to have a swab shoved up to your brain so you could go tot unemployment office to beg for a check and then come home and wipe your ass with your mail because the store was out of toilet paper. Yeah, Trump’s back, baby!"
Seth Meyers,"‘Count me out, that’s right, unless he wins, then count me right back in. You hear that Meemaw? The man just ‘bout destroyed democracy but I’d still rather be with him than spend another night sanitizing your CPAP, you old warthog!'"
Seth Meyers,"If you think Democrats are being hyperbolic about a second Trump term, just remember the man who’ll be Trump’s Vice President said Trump could be America’s Hitler. They all know the real Trump. When they got a close-up look, they were all horrified. And yet Trump’s apologists in right-wing media want you to think he’ll magically transform into a different person."
Seth Meyers,You think Trump is a changed man? Five days ago he was simulating fellatio on a microphone. I don’t think that’s a side effect of surviving an assassination attempt. I don’t remember Ronald Reagan coming out of the hospital honking imaginary boobs for cheap laughs.
Seth Meyers,"They want you to think they’re just edgelord podcasters but they’re not, they’re oligarchs. The richest man alive whose company has contracts with the Pentagon and who owns one of the largest social media platforms has teamed up with a billionaire who’ll soon be the most powerful man in the world for a second time to consolidate their power over society and the economy. They’re not your bros. They’re not gonna come over to your house and smoke weed and play Diablo with you.” seth meyers"
Seth Meyers,"Donald Trump ran a dark and ominous campaign where he called his opponents vermin, scum, and the enemy within. He’s not gonna suddenly become a soft and cuddly uniter. I know he likes to play dress up, but that’s one costume he can’t pull off."
Seth Meyers,"I wish I had some trenchant words of wisdom to impart, I’m sad to say I don’t. We’re about to step over the precipice into truly uncharted territory. You need only look back to Trump’s first term to get a sense of how dangerous his second term will be. And no one can say they didn’t know what they were getting because Trump made it crystal clear. All I know is that the fight for justice doesn’t end with one election. We must gird ourselves for what comes next and do everything in our power to make real the world we want to live in. At times like this, when everything feels overwhelming and impossible like all hope is lost, we have no choice but to look back on the broad scope of history. Justice is not automatic, comeuppance is not guaranteed. Politics is unfortunately not a Marvel movie, even though Joe Biden does look eerily like old Captain America.” seth meyers"
Seth Meyers,"Donald Trump has been very clear about what he’ll do when he returns to power. Military-style round-ups of migrants, using the power of the state to crush his opponents and pursue his grievances, eliminating the Department of Education, letting climate change run rampant, spreading conspiracy theories about health care and vaccines. He said he would be a dictator on day one. The question is what will the rest of us be doing on day one? If you’re one of the tens of millions of Americans who said no to Trump’s dark, dangerous vision for America last night, now’s the time to stand in solidarity with our friends, with our neighbors, with the vulnerable communities. And begin the hard work of making real the world we want to live in. That’s what we will be doing, and I hope you’ll join us.” seth meyers"
Seth Meyers,"That doesn’t mean the struggle toward a more just and compassionate world is futile. It just means it’s f**king hard, and soul-crushing, and heartbreaking, and agonizing, and it never ends. Democracy does not happen only on Election Day. For nearly a decade, Americans organized, protested, donated, voted time and time again to repudiate Trump and the MAGA movement. A broad anti-Trump coalition won decisively in 2018, 2020, and 2022, and MAGA candidates were routinely rejected. But it’s a big divided country and this time the streak just ran out.” seth meyers"
