name,monologue
Jimmy Fallon,"Trump just suggested that Democrats could have planted his name in the Epstein files. Nancy Pelosi and Bernie Sanders were like, ‘Trust us, if we knew how to work a computer, we would have.'"
Jimmy Fallon,"Trump went from saying, ‘There are no files’ to, ‘I’m not in the files’ to, ‘I’m only in there ’cause the files were changed.’ By next week, we’re gonna find out that Trump is Jeffrey Epstein."
Jimmy Fallon,"This is going viral. A mayoral candidate in Massachusetts named Geoffrey Epstein with a ‘G.’ Can you imagine? He’s doing his best to remind voters that he is not Jeffrey Epstein with a ‘J.’ I’m not sure what’s worse, that his last name is Epstein or that he spells Jeffrey with a G."
Jimmy Fallon,"Fortunately for him, though, he’s running against another candidate, Geoffrey Dahmer."
Jimmy Fallon,"More than 200 million Americans getting slammed by scorching hot temperatures. Amazon already has a new TV series, ‘The Summer I Turned Sweaty.'"
Jimmy Fallon,"It’s not just here. Over in Finland, they broke a record with their 16th consecutive day above 30 degrees Celsius. Americans heard and were like, ‘Yeah, we have no idea how much that is.’ ‘Do I times it by 50? What is it?'"
Jimmy Fallon,The CEO of Boeing said 2025 could be the company’s turnaround year. I’m sorry. Could be? It’s never good when a company that makes planes has a comeback story.
Jimmy Fallon,"At an amusement park in Ohio, a new roller coaster just stranded riders for the fourth time since it opened last month. But don’t worry. They’re claiming 2025 could be their turnaround year."
Seth Meyers,"When asked yesterday about the release of the Epstein files at an event in Ohio, Vice President J.D. Vance said that President Trump has been ‘incredibly transparent about that stuff.’ And I agree. We can absolutely see right through him."
Seth Meyers,"President Trump was asked during a media appearance over the weekend if he rushed to finish a trade deal with the European Union to ‘knock Jeffrey Epstein’s story out.’ Oh, yeah, I’m sure all the conspiracy theorists and MAGA will stop talking about Epstein now that there’s a new trade deal. ‘So you think Trump was on the list or what?’ ‘Who cares? We can get cheaper sardines from Portugal.’ Seth Meyers"
