name,monologue
David Letterman,"Right about now, my mom is watching TV and screaming out, ""Where's Leno?"" "
David Letterman,"1. ""Hi, I'm looking for Dick"""
Conan O'Brien,"Tonight is the second night of “The Tonight Show with Conan O’Brien.” The good news is, anything that runs this long on NBC is considered a smash hit. "
Conan O'Brien,"Here's some news: Despite opposition from the public, President Obama says he’s determined to close the prison at Guantanamo Bay. To make sure Guantanamo Bay closes, Obama said the new warden will be the CEO of General Motors. "
Conan O'Brien,"Last night in New York City Vice President Joe Biden gave a speech at a $1000-a-plate fundraising dinner. Since Biden spoke before dinner, everyone is still waiting to eat. "
Conan O'Brien,"Yesterday, Dick Cheney said his lesbian daughter Mary has convinced him to support gay marriage. Cheney made the announcement after Mary was spotted waterboarding him. "
Jimmy Kimmel,California is officially out of money. One day without Jay Leno and everything goes to hell. 
Jimmy Kimmel,Gov. Arnold Schwarzenegger said that the day of reckoning is here. That either means he has a new movie out or we're screwed. 
Jimmy Kimmel,"They've canceled summer school because of the money shortage. It's all part of a program called, ""leave no child ahead."" "
Jimmy Kimmel,No summer school means more pee in the public pools. So there's a silver lining. 
