name,monologue
John Oliver,"Last Week Tonight with John Oliver Season 12 Episode 30 Aired on November 16, 2025"
John Oliver,"John Oliver discusses the vital role public media plays in the lives of many Americans, how the Trump Administration’s massive budget cuts could impact those Americans directly, and why Mr. Bean is the greatest British comedian in history. Ya, that’s right, Rowan “Mr. Bean” Atkinson."
John Oliver,"We’re going to dive straight in with our main story this week, which concerns public media. It’s brought us Sesame Street , NPR’s Tiny Desk Concerts , and The Joy of Painting with Bob Ross, which once featured this exceptional reveal."
John Oliver,"Oh my god. Peepod the pocket squirrel might be the best sequence of words in the history of the English language. And admit it. For a moment, you thought he was talking about an imaginary squirrel there. You heard him say, “These little trees will be a super place for my little squirrel.” And you assumed he was referring to an animal he was about to paint, not a living rodent on his person! Even when he moved the dropper towards his pocket, a physical squirrel wasn’t on your mental horizon. You just figured it was a weird paint tool. And that no way was a real-life fucking squirrel chilling in this guy’s clothes. There is just no fucking way! What if it shits? But have you ever been happier to be wrong? Also, fun fact, Peepod wasn’t Bob Ross’ only squirrel. He apparently built an enormous cage outside of his home in which he nursed orphaned squirrels back to health, which is presumably why this absolute banger of a photo exists. And sorry to every living supermodel, but that is a pout."
John Oliver,"Anyway, in America, almost all public media falls under the Corporation for Public Broadcasting , which until recently distributed funding to over 500 radio and TV grantees, representing more than 1500 locally managed and operated stations nationwide. Together, the system reaches nearly 99% of the US population with free programming and services. And public media has been truly innovative in reaching underserved audiences. It was a public TV station that first invented closed captioning in the 1970s, and stations around the country offer programming in Haitian Creole, Navajo, Vietnamese, and many other languages. But as you undoubtedly know, it is now facing a serious threat, as over the summer Congress decided to eliminate $1.1 billion that had been allocated to fund public broadcasting for the next two years. It was something that Trump celebrated like this."
John Oliver,"You know what? I can’t explain this in a precise way, but Donald Trump proudly slurring his way through another on-purpose disaster might be the scientific opposite of Bob Ross and Peepod. In fact, if you play those two clips at the same time, I think the world might explode. But it is true: in July, Congress approved Trump’s plan to eliminate the CPB’s funding entirely . It is one of many egregious actions this administration has taken, which is why the number one search on Google this year is probably going to end up being, “Wait, can the government do that?” And all of this has understandably upset a lot of people, even some that you may not have thought would be fans of public media like this guy."
John Oliver,"THE BERSERKER BLÓTHAR: Public radio, it’s a national treasure. I mean, where else would you go? As a young man, I watched Ginger Baker have a drum-off against the drummer from Ratt on Rock School on PBS. You’re not going to find that on network television, and not to mention Sesame Street . I mean, look, this is Mr. Rogers. It’s quality programming and it always has been, and it’s a damn shame to just throw it in the toilet like that."
John Oliver,"Okay, so there is a lot to say there, but mostly the top half of him is not the problem. But I know what you’re thinking. You are thinking, I had no idea that The Berserker Blóthar, lead vocalist of heavy metal band Gwar, was such a fan of public media. But apparently he is. And it is both beautiful and confusing to watch him utter the words “Mr. Rogers,” as it’s hard to imagine them in the same universe. Although I’ll say I would love to have seen Gwar on Mr. Rogers’ Neighborhood . You are special just the way you are. Your diseased undercarriage composed of abscess-riddled penises makes you you . But he is right. This budget cut is devastating. Actually, maybe take that down. This cut will be felt all over, but especially in rural, remote, and tribal communities. One analysis estimates that as many as 115 stations, collectively serving 43 million Americans, are likely to close by mid next year. And as a DJ at this Colorado station explains, these stations can fill a vital community role."
John Oliver,MARTY JONES (VOLUNTEER DJ): One of the things that we do is provide public service announcements that inform people of meetings that are important to the community that they don’t always get in a timely fashion otherwise. Some examples that I just read on this morning’s show included an announcement about a distribution of school supplies that is occurring today. Here’s an announcement about a free sloppy joe luncheon for veterans and homeless.
John Oliver,"Exactly. That man who looks like Santa Claus if he got just the right amount into the Grateful Dead is completely right. He should also, by the way, probably be public radio’s new mascot, given he has the quintessential public radio voice, beard, and general vibe. Honestly, if the next NPR tote for sale does not have that man’s face on it, they’re leaving money on the table. The point is, public media provides incredible benefits to the communities that it serves, and it has just suffered a gigantic blow. So, given that, tonight, let’s talk about public media, how it works, what it does, and how we go forward."
