name,monologue
Jimmy Fallon,"Thank you very much. We're gonna have fun tonight. Enjoy yourself. Welcome, everybody. Welcome, welcome, welcome to ""The Tonight Show."" Uh, this is it. This is -- thank you for watching. And I just want to say quickly, if you laugh at all these jokes tonight, President Trump said he'll give everyone in the audience $5,000."
Jimmy Fallon,"Well, guys, the two day Republican midterm convention just wrapped up. And last night, President Trump made a keynote address and spoke for nearly two hours."
Jimmy Fallon,It was the first time Trump's been in a room where he was awake and everyone else was asleep.
Jimmy Fallon,"Two hours. That's not a speech. That's a residency. You know... Trump was standing for so long, by the end of his speech, he was 90% cankle."
Jimmy Fallon,"Yeah. Trump's speech was up against the first NFL game of the season. Yep, after both events ended, the players were fine, but Trump was checked for a head injury. But everyone is talking about this. Trump said that if Republicans win both the House and the Senate in the midterm elections, he will give every American adult $5,000. Now, I know that sounds like a bribe."
Jimmy Fallon,"In Trump's defense, he's never going to pay us, so technically, it's not a bribe. Come on. $5,000 for everyone. The only catch is the money must be spent at the Mar-a-Lago gift shop."
Jimmy Fallon,"""We have key chains in the corner."" That's right, Trump promised to pay every American $5,000 if Republicans win the midterms. It's a little confusing, but the White House just put out this video message to clarify it. Watch this."
Jimmy Fallon,"Hey there, losers and poors. It's your boy Donnie T here to tell you I'll give you $5,000 if Republicans win this November. If that sounds like a bribe, that's 'cause it is, baby. But wait! There's more! If you make J.D. Vance president in 2028 I'll throw in another $5,000. Give me two terms and you get not $10,000, not $15,000, but $20,000. And that's not all."
Jimmy Fallon,"If you commit now to a one party rule in this country for the next hundred years, I'll throw in a free MyPillow. 200 years, two free MyPillows. What else do you want? Health care? Don't get greedy. Not gonna happen. So this November, let's Make America Dysfunctional and Broken But Give Everyone Cold Hard Cash to Look the Other Way Again! Yay!"
Jimmy Fallon,"Wow. So that, they really said, that clarifies things."
