name,monologue
Seth Meyers,"Today, today was Donald Trump’s last full day as president of the United States and he spent it stewing in private, mulling pardons for well-connected allies and releasing a meaningless, lie-filled farewell message. For more on this, it’s time for “A Closer Look."
Seth Meyers,"Today, Trump released a pretaped farewell message filled, as usual, with the soaring oratory he’s known for."
Seth Meyers,"[Bleep] off. You don’t get to do that. You don’t want to do any of the hard parts of leaving, like gracefully admitting you lost and attending your successor’s inauguration, but you want us to watch your lie-filled 20-minute farewell speech, which, I am certain, you’re reading for the first time, like a tourist reading a menu in a foreign language."
Seth Meyers,"[As Trump] I’ll — I’ll have the — Oh, boy. Oh, how do you say this? Oh, man! Oh. Hamburger? [Laughter]"
Seth Meyers,"Although, I will briefly touch on the overarching message because of how absurd it is."
Seth Meyers,"[President Trump] Four years ago, we launched a great national effort to rebuild our country, to renew its spirit, and to restore the allegiance of this government to its citizens. We did what we came here to do, and so much more."
Seth Meyers,"[As Trump] And, yet, sadly, my presidency ends one week before Infrastructure Week."
Seth Meyers,"Are you insane? You left the nation in ruins. What did you come here to do, wreck the economy; spread disease; and take selfies with cans of beans, where you smile like you just ate ice cream with a cavity? This time, four years ago, virtually the entire federal government was being mobilized in service of an incredibly stupid lie — Trump’s insistence that his inauguration crowd was the largest ever, even though we could all see that it had more white space than the back of a Hallmark card. Sean Spicer was screaming from the podium in a giant suit cut from the sail of a mighty clipper ship. Trump was whining in front of the CIA Memorial Wall. Kellyanne Conway was trying to Jedi mind trick Chuck Todd into accepting alternate facts. And that episode ended up being a telling preamble to the rest of Trump’s four years. It’s not just that Trump inhabits an unhinged fantasy world, which he does, or that he and his aides lie as easily as they breathe, which they do. It’s that the entire federal bureaucracy was dragged into defending a narcissistic president’s delusion and anyone who refused to support the lie was punished."
Seth Meyers,"[CNN Live] Newly released documents obtained by The Guardian reveal a government photographer intentionally cropped the images to remove spaces and, in turn, make the crowd look larger. The unnamed photographer says that he tampered with the photos from the president’s inauguration in 2017 after receiving multiple calls from the White House, including one from the president on his first full day in office."
Seth Meyers,"[CNN Live] The president, here, reportedly asking for additional pictures of the inauguration. He was obviously concerned about the crowd size of the inauguration. The request appeared to have trickled down to other members, other staffers at the Park Service, one unnamed official telling investigators with the Inspector General’s Office that she got the impression that the president wanted to see pictures that appeared to depict more spectators in the crowd."
Seth Meyers,"[Seth] That’s right. Trump bullied the National Park Service. First of all, if you’re going to make the National Park Service edit photographs, at least make it something fun, like Old Faithful spewing lava or a moose with Angelina Jolie’s eyes. Good-looking moose! And, as we’ve learned over the last four years, if you’re willing to lie about inconsequential things, like crowd size or a weather map, you’re also willing to lie about far more important things, like the coronavirus pandemic, which has now passed a grim new death toll of 400,000 on Trump’s final day in office. Trump insisted that COVID would magically disappear, that it could be easily cured, and, much like the inauguration lie, everyone around him, from his closest aides to government scientists, was ordered to fall in line or face consequences. And, while some stood up to him, his closest sycophants decided to take part in the lie and deny reality."
